Name,Pitch_R1_Deg,Roll_R2_Deg,Yaw_R3_Deg,Horz_Off_Meters,Vert_Off_Meters
FE_SRC1:ELC1_D0685,-0.0164,-0.0134,-0.0449,-0.00005,0.000024
FE_SCS1:SOLR_D0690,0.029635,0.047306,0.006972,-0.000439,-0.000014
FE_SCS1:DCHV_D0695,0.0041,0.0118,0.2212,0.000057,-0.000108
FE_SCS1:ACC_D0698,0.0056,-0.0182,0.0936,0.000059,-0.000207
FE_SCS1:SOLR_D0704,-0.0066,0.0272,0.0027,0.000007,-0.000154
FE_SCS1:DCHV_D0709,-0.0807,-0.0188,-0.1851,-0.000136,-0.000147
FE_SCS1:DH_D0717,0.0039,-0.01,-0.0077,0.000046,0.00009
FE_SCS1:DCHV_D0723,-0.0596,0.0207,-0.1649,-0.000111,-0.000087
FE_SCS1:QET_D0730,0.005,0.0025,-0.002,0.000009,-0.000134
FE_SCS1:QET_D0746,-0.0043,0.0025,-0.0011,-0.000008,0.000006
Venus_Yoke,-0.0012,0.0008,0.001,0.000028,-0.000023
Sextupole/Cryostat Center,-0.0026,0.0109,0.0248,-0.000029,-0.000076
FE_LEBT:DH_D0759,0.0142,-0.0134,0.0053,-0.00003,0.000039
FE_LEBT:QED_D0769,0.0034,-0.0274,-0.0106,-0.000041,-0.000048
FE_LEBT:DCHV_D0773,-0.0714,-0.1873,0.3124,-0.000469,-0.000588
FE_LEBT:QED_D0778,0.0091,0,-0.0009,-0.000277,-0.000123
FE_LEBT:SOLR_D0787,0.0059,-0.0049,-0.004,0.000004,-0.000044
FE_LEBT:DCHV_D0790,-0.0133,-0.0264,-0.0254,0.000047,-0.000037
FE_LEBT:CHP_D0792,-0.007,-0.0273,0.0013,0.000085,-0.000041
FE_LEBT:SOLR_D0802,0.0088,0.0025,0.0068,-0.000017,-0.000014
FE_LEBT:DCHV_D0805,0.0467,-0.0668,0.15,-0.000068,-0.000211
FE_LEBT:SOLR_D0818,-0.0032,0.0022,-0.0102,-0.000046,-0.000029
FE_LEBT:DCHV_D0821,0.0315,0.0438,0.1655,-0.00008,0.000089
FE_LEBT:DVE_D0833,-0.0115,0.0485,-0.0365,0.000369,-0.000259
FE_LEBT:QET_D0848,-0.0021,-0.0079,0.0228,0.000082,0.000217
FE_LEBT:QET_D0874,0.0101,-0.0114,0.0006,0.000105,0.000031
FE_LEBT:QET_D0895,0.0179,0.0725,0.0066,0.000016,0.000211
FE_LEBT:QET_D0921,0.0057,0.0068,0.0065,-0.00011,-0.000891
FE_LEBT:DVE_D0936,0.0144,-0.0321,0.0412,0.000385,0.000263
FE_LEBT:DCHV_D0948,0.068,0.0298,-0.0379,-0.000518,-0.000294
FE_LEBT:SOLR_D0951,0.0246,-0.025,0.0021,-0.000131,-0.000419
FE_LEBT:DCHV_D0964,-0.0312,0.0012,-0.1324,-0.000381,-0.000363
FE_LEBT:SOLR_D0967,0.0011,0.0149,-0.0109,-0.000474,-0.000491
FE_LEBT:DCHV_D0979,-0.0177,0.0048,-0.1236,-0.000322,-0.00019
FE_LEBT:SOLR_D0982,-0.0171,0.002,0.013,-0.000416,-0.000184
FE_LEBT:CAV_D0987,-0.0335,-0.1032,-0.0329,0.00009,-0.000305
FE_LEBT:DCHV_D0992,0.0526,-0.0463,-0.1796,-0.000187,-0.000423
FE_LEBT:SOLR_D0995,-0.0046,-0.0349,0.0029,-0.000146,-0.000214
FE_RFQ:CAV_D1005,-0.0001,-0.006,0.0012,-0.000329,-0.00005
FE_MEBT:BPM_D1056,0.0293,-0.0376,0.264,-0.000171,0.000447
FE_MEBT:Q_D1057,0.0184,-0.0582,0.0934,0.000093,0.000333
FE_MEBT:Q_D1060,0.0226,-0.0511,-0.0466,0.000205,0.000016
FE_MEBT:Q_D1062,-0.1662,-0.1749,-0.0146,0.000643,0.000234
FE_MEBT:CAV_D1066,0.0589,-0.0044,-0.0187,-0.000518,0.000384
FE_MEBT:BPM_D1072,-0.485,0.1643,-0.1231,-0.000436,-0.000147
FE_MEBT:Q_D1074,-0.002,0.0364,-0.1057,-0.000387,0.000297
FE_MEBT:Q_D1076,0.0471,0.003,-0.0245,-0.000137,0.000444
FE_MEBT:Q_D1078,-0.182,0.0117,0.0329,-0.000139,0.000086
FE_MEBT:DH_D1086,-0.0044,-0.0022,0.0148,-0.000329,0.000017
FE_MEBT:BPM_D1094,-0.1332,0.1199,0.2498,-0.000361,-0.000072
FE_MEBT:Q_D1095,0.0499,-0.0221,0.0368,0.000073,-0.000414
FE_MEBT:Q_D1098,-0.0853,-0.0122,0.0517,-0.000078,-0.000381
FE_MEBT:Q_D1100,-0.2518,0.0717,-0.0057,-0.000606,-0.000452
FE_MEBT:CAV_D1107,0.064,-0.0848,0.0411,-0.00026,0.00008
FE_MEBT:BPM_D1111,0.1618,-0.2173,-0.2732,-0.000725,0.000122
FE_MEBT:Q_D1113,0.0383,-0.0918,0.0063,0.000128,-0.000088
FE_MEBT:Q_D1115,-0.0547,-0.0773,0.0141,-0.000017,-0.000116
FE_MEBT:Q_D1117,-0.1723,-0.1315,0.0535,0.000279,0.00003
LS1_CA01:CAV1_D1127,0.0339,-0.0026,0.0234,0.000399,-0.000179
LS1_CA01:SOL1_D1132,0.0083,-0.0379,-0.098,0.000117,-0.000002
LS1_CA01:CAV2_D1136,0.025,-0.023,0.0179,0.000126,-0.000128
LS1_CA01:CAV3_D1142,0.0957,0.0039,0.0008,0.000081,-0.000323
LS1_CA01:SOL2_D1146,0.0307,0.0248,-0.0911,-0.000202,0.000037
LS1_CA01:CAV4_D1150,0.0747,0.0084,-0.031,-0.000138,0.00004
LS1_CA02:CAV1_D1161,-0.0087,-0.0036,-0.0024,-0.000239,-0.000049
LS1_CA02:SOL1_D1165,0.0244,0.0256,-0.0734,-0.000114,-0.000001
LS1_CA02:CAV2_D1169,-0.0105,-0.0395,0.0061,-0.000186,-0.000074
LS1_CA02:CAV3_D1176,-0.0363,-0.0274,-0.0283,-0.000194,-0.000037
LS1_CA02:SOL2_D1180,-0.0054,-0.0546,-0.0321,-0.00001,0.000028
LS1_CA02:CAV4_D1184,0.0438,-0.0878,-0.0262,0.000173,0.000205
LS1_CA03:CAV1_D1195,0.071,0.0311,-0.0546,0.000001,0.000213
LS1_CA03:SOL1_D1199,0.022,0.0364,-0.0112,-0.0001,0.000034
LS1_CA03:CAV2_D1203,0.0061,0.0356,0.0239,-0.000139,0.000186
